timestamp,mouse_distance,mouse_left_click,mouse_right_click,mouse_scroll,keyboard_counts,cpu_percent,ram_percent,gpu_percent,gpu_vram_percent,bytes_sent_per_sec,bytes_recv_per_sec,packets_sent_per_sec,packets_recv_per_sec,read_bytes_per_sec,write_bytes_per_sec,label
2025-09-23 21:54:29,78.83469614400909,0,0,8,0,14.7,75.2,31,18.55874259587201,6756,1579,13,12,8441856,13771776,video
2025-09-23 21:54:30,105.65130146272004,0,0,0,0,13.3,75.4,30,18.637745404860773,1697,718,4,5,10539008,9618944,video
2025-09-23 21:54:31,284.0644267054048,0,0,0,0,20.0,75.9,38,18.762928599780164,24337,471779,288,319,9023488,40960,video
2025-09-23 21:54:32,19.038404810405297,0,0,0,0,17.4,75.6,31,18.730869488886174,349,192,3,3,8069120,10719232,video
2025-09-23 21:54:33,4.0,0,0,0,0,17.5,75.8,32,18.636600436614557,163,126,3,2,9826304,7822848,video
2025-09-23 21:54:34,0,0,0,0,0,16.9,75.5,31,18.583168585124575,55,66,1,1,6250496,6539264,video
2025-09-23 21:54:35,0,0,0,0,0,14.3,75.7,32,18.61980756900342,3014,1366,8,7,7106560,98304,video
2025-09-23 21:54:36,0,0,0,0,0,14.6,75.9,31,18.567139029677577,21234,472213,269,320,7536640,11786240,video
2025-09-23 21:54:37,0,0,0,0,0,12.8,76.0,33,18.56255915669272,55,66,1,1,10285056,6737920,video
2025-09-23 21:54:38,0,0,0,0,0,15.7,76.1,34,18.56255915669272,55,0,1,0,6619136,11103744,video
2025-09-23 21:54:39,0,0,0,0,0,15.9,76.3,32,18.56255915669272,0,0,0,0,6213632,176128,video
2025-09-23 21:54:40,430.08590811010816,0,0,0,0,27.1,76.2,45,18.817887075598435,1108,713,6,6,8314880,6423552,video
2025-09-23 21:54:41,0,0,0,12,0,17.4,76.5,7,18.655301584636053,27367,486975,279,343,7222272,5656576,video
2025-09-23 21:54:42,0,0,0,0,0,16.4,76.7,7,18.616372664264777,1626,652,3,4,6131712,12090368,video
2025-09-23 21:54:43,0,0,0,0,0,20.6,76.2,7,18.52210361199316,55,0,1,0,6520832,4554752,video
2025-09-23 21:54:44,114.99258233449558,0,0,14,0,14.7,75.9,11,18.89650822850513,1668,652,4,4,7528448,2216960,video
2025-09-23 21:54:45,747.0949373021755,0,0,13,0,15.8,76.2,25,18.82132198033708,35503,506347,330,382,7000064,9076736,video
2025-09-23 21:54:46,384.48540435245343,0,0,8,0,15.6,75.8,25,18.943451926599902,87805,115327,156,153,9080832,7773184,video
2025-09-23 21:54:47,1315.252502326471,0,0,5,0,19.2,76.1,21,19.13523410784074,73721,881092,591,674,6447104,3907584,video
2025-09-23 21:54:48,173.04690761064478,0,0,22,0,17.2,76.3,5,19.461550058011724,37037,506332,320,375,8368128,6437376,video
2025-09-23 21:54:49,238.3443834629381,0,0,1,0,17.2,76.4,6,19.35392304286761,1901,850,6,7,6983680,12578816,video
2025-09-23 21:54:50,0,0,0,0,0,12.6,76.5,6,19.17149143563752,13980,296386,178,208,8626176,7789056,video
2025-09-23 21:54:51,0,0,0,0,0,11.4,76.5,11,19.13752404433317,4571,62877,44,45,9539584,3973120,video
2025-09-23 21:54:52,0,0,0,0,0,12.9,76.6,16,19.116151303737176,2287,652,5,4,9048064,4666880,video
2025-09-23 21:54:53,0,0,0,0,0,11.9,76.7,18,18.945169378969222,55,0,1,0,7749632,11280384,video
2025-09-23 21:54:54,0,1,0,0,0,17.1,76.8,23,19.289661700048853,0,66,0,1,7032832,6737920,video
2025-09-23 21:59:41,0,0,0,0,0,68.8,90.8,48,48.439122038348806,0,0,0,0,0,0,gaming
